avg_rating,number_ratings,enrollment,last_updated,lectures,duration,price2,discount,inst_rating,inst_review,inst_student,inst_course,cat_design,cat_development,cat_hobby,cat_it_software
4.4,3450.0,15682.0,19.83,53.0,3.58,17.99,82.0,4.4,40062.0,218934.0,17.0,0,1,0,0
4.4,1411.0,8901.0,20.83,56.0,3.9,17.99,89.0,4.4,3576.0,42497.0,2.0,0,0,0,1
4.5,385.0,17055.0,20.42,204.0,18.23,21.99,88.0,4.5,16104.0,124419.0,12.0,1,0,0,0
4.5,112.0,508.0,20.5,107.0,8.9,19.99,92.0,4.4,123.0,578.0,2.0,0,0,0,0
4.4,426.0,2523.0,17.67,86.0,12.17,25.99,67.0,4.5,11922.0,53682.0,10.0,0,0,0,0
4.2,251.0,2413.0,19.42,58.0,8.18,20.99,92.0,4.1,251.0,12009.0,1.0,0,0,0,1
4.3,690.0,4796.0,19.75,26.0,4.45,17.99,89.0,4.2,7513.0,66526.0,184.0,0,0,0,1
4.6,1863.0,10691.0,20.83,109.0,11.73,21.99,92.0,4.6,8745.0,29901.0,10.0,0,0,0,0
4.5,2298.0,11385.0,19.92,74.0,6.17,24.99,67.0,4.5,15417.0,69523.0,8.0,0,0,0,0
3.9,143.0,726.0,20.17,379.0,34.65,20.99,58.0,3.6,181.0,910.0,3.0,0,0,0,1
4.5,509.0,4173.0,19.92,524.0,17.72,17.99,86.0,4.2,7513.0,66526.0,184.0,0,0,0,1
4.3,374.0,1362.0,20.83,29.0,1.82,16.99,92.0,4.3,374.0,1362.0,1.0,0,0,0,1
4.6,676.0,2455.0,19.17,11.0,2.88,16.99,32.0,4.6,18253.0,122504.0,20.0,0,0,1,0
4.5,4090.0,24165.0,19.67,39.0,5.62,25.99,89.0,4.5,60107.0,236203.0,12.0,0,1,0,0
4.4,3378.0,16124.0,20.42,103.0,12.82,24.99,69.0,4.4,3767.0,18101.0,3.0,0,0,0,0
4.5,2424.0,15729.0,15.92,31.0,2.2,17.99,37.0,4.5,89865.0,405914.0,19.0,0,0,0,0
4.5,419.0,1691.0,20.67,351.0,23.33,36.99,91.0,4.4,1459.0,5150.0,7.0,0,0,0,0
4.7,5611.0,21160.0,20.83,88.0,3.83,16.99,69.0,4.7,87085.0,224428.0,13.0,0,1,0,0
4.1,427.0,2967.0,20.83,168.0,15.73,20.99,92.0,4.5,10405.0,100781.0,8.0,0,0,0,1
4.6,645.0,2854.0,20.42,155.0,16.02,27.99,43.0,4.6,1003.0,8426.0,3.0,0,0,0,0
4.4,4933.0,37968.0,16.67,97.0,7.82,16.99,77.0,4.5,41764.0,255340.0,15.0,0,0,0,0
4.2,543.0,1605.0,20.75,19.0,2.6,17.99,89.0,4.1,807.0,2462.0,4.0,0,0,0,0
4.2,1127.0,7810.0,20.42,118.0,7.83,16.99,92.0,4.3,1520.0,11276.0,13.0,0,0,0,1
4.4,1262.0,6784.0,20.67,284.0,17.13,27.99,89.0,4.3,1333.0,11280.0,3.0,0,0,0,0
4.6,740.0,13463.0,20.67,57.0,3.83,19.99,88.0,4.5,978.0,19113.0,2.0,0,0,0,0
4.8,857.0,3743.0,17.25,107.0,7.58,17.99,89.0,4.6,1383.0,11821.0,6.0,0,0,0,0
4.8,180.0,1288.0,20.83,83.0,4.35,16.99,84.0,4.6,731.0,6592.0,5.0,0,0,1,0
4.5,856.0,4904.0,20.83,27.0,1.85,51.99,60.0,4.5,26464.0,140716.0,14.0,0,0,0,0
4.6,5181.0,25365.0,17.0,70.0,13.08,17.99,87.0,4.5,12963.0,92964.0,21.0,0,0,0,1
4.4,2570.0,13807.0,20.33,53.0,3.62,16.99,64.0,4.6,100190.0,314001.0,31.0,0,0,0,1
4.6,3488.0,17916.0,20.83,26.0,1.5,16.99,72.0,4.4,80108.0,271227.0,82.0,0,0,0,0
4.3,1559.0,6272.0,17.33,217.0,23.93,39.99,32.0,4.4,14845.0,250102.0,33.0,0,0,0,1
4.5,1655.0,8253.0,19.58,50.0,6.07,16.99,88.0,4.5,3552.0,11939.0,14.0,0,0,0,1
4.6,1127.0,4729.0,20.42,50.0,7.13,16.99,92.0,4.5,5575.0,55538.0,3.0,0,1,0,0
4.2,190.0,727.0,15.33,45.0,3.75,27.99,89.0,4.4,209.0,730.0,3.0,1,0,0,0
4.0,430.0,1563.0,19.42,124.0,12.08,19.99,55.0,4.0,430.0,1563.0,1.0,0,0,0,1
4.0,338.0,1010.0,18.67,19.0,4.67,17.99,43.0,4.0,777.0,13776.0,3.0,0,0,0,0
4.8,1180.0,8972.0,20.83,44.0,5.68,16.99,32.0,4.6,14053.0,85252.0,16.0,0,0,1,0
4.2,477.0,3594.0,20.75,91.0,11.52,21.99,89.0,4.2,1584.0,10670.0,13.0,0,0,0,0
4.3,465.0,3941.0,20.75,49.0,3.25,21.99,87.0,4.5,26464.0,140716.0,14.0,0,0,0,1
4.5,353.0,2545.0,20.67,45.0,6.22,16.99,80.0,4.3,481.0,8503.0,10.0,0,0,0,0
4.5,2426.0,23815.0,20.33,7.0,1.17,16.99,92.0,4.5,2459.0,27920.0,2.0,0,0,0,0
4.3,2118.0,8794.0,19.08,60.0,5.1,16.99,43.0,4.3,2895.0,10375.0,6.0,0,0,0,1
4.4,365.0,5993.0,20.83,21.0,3.82,16.99,32.0,4.2,6376.0,103739.0,13.0,0,0,0,1
4.4,1282.0,17333.0,20.25,43.0,5.55,20.99,82.0,4.5,4364.0,41716.0,21.0,0,0,0,0
4.2,335.0,2270.0,20.83,78.0,8.27,23.99,69.0,4.4,46748.0,340215.0,24.0,0,0,0,0
4.7,1655.0,5774.0,20.75,109.0,11.57,23.99,32.0,4.5,2006.0,8488.0,4.0,0,0,0,1
4.5,2716.0,11405.0,20.5,21.0,5.03,16.99,50.0,4.6,13835.0,62988.0,11.0,0,0,0,0
4.4,898.0,3404.0,19.75,21.0,1.98,16.99,31.0,4.4,17599.0,100305.0,18.0,0,0,0,1
4.7,3553.0,15005.0,20.83,229.0,30.85,19.99,86.0,4.7,11423.0,31593.0,19.0,0,0,0,0
4.5,386.0,1407.0,20.83,41.0,3.5,20.99,84.0,4.4,1498.0,21767.0,10.0,0,0,0,0
4.4,2648.0,15136.0,16.67,106.0,9.83,16.99,77.0,4.6,16672.0,47822.0,9.0,0,0,0,1
4.6,549.0,3439.0,16.67,25.0,4.68,16.99,87.0,4.7,14176.0,43434.0,9.0,0,0,0,0
3.8,188.0,3235.0,20.83,33.0,3.95,17.99,88.0,3.8,188.0,3235.0,1.0,0,0,0,0
4.4,1028.0,9715.0,20.33,55.0,3.6,16.99,80.0,4.4,1028.0,9715.0,1.0,0,0,0,1
4.4,1970.0,8946.0,17.25,117.0,12.87,29.99,88.0,4.3,7715.0,51159.0,7.0,0,0,0,1
4.5,414.0,2758.0,19.17,131.0,17.48,34.99,92.0,4.5,46162.0,130166.0,33.0,0,0,0,1
4.4,1746.0,10341.0,19.0,55.0,4.8,17.99,32.0,4.5,35048.0,255012.0,40.0,0,0,0,1
4.6,2783.0,18667.0,20.75,130.0,12.45,17.99,80.0,4.6,36082.0,160157.0,9.0,0,1,0,0
4.2,1453.0,7417.0,18.83,58.0,6.43,20.99,77.0,4.3,11837.0,65437.0,38.0,0,1,0,0
4.3,1144.0,4715.0,17.58,42.0,3.43,17.99,88.0,4.4,2581.0,8558.0,7.0,0,0,0,0
4.4,546.0,2176.0,20.58,81.0,7.78,16.99,88.0,4.7,849.0,14101.0,4.0,0,0,0,0
4.7,707.0,3723.0,20.0,42.0,5.62,16.99,79.0,4.7,11423.0,31593.0,19.0,0,0,0,0
4.6,2796.0,15941.0,20.83,189.0,14.77,16.99,32.0,4.6,2796.0,15941.0,1.0,0,1,0,0
4.5,549.0,3495.0,20.83,350.0,29.25,19.99,86.0,4.3,1394.0,11199.0,3.0,0,1,0,0
4.0,341.0,2251.0,19.17,343.0,43.33,23.99,87.0,4.4,7731.0,32830.0,20.0,0,1,0,0
4.4,597.0,4313.0,19.83,165.0,27.75,16.99,89.0,4.0,52857.0,324758.0,1420.0,0,1,0,0
4.4,3719.0,16173.0,16.67,66.0,6.87,21.99,86.0,4.3,6636.0,35334.0,10.0,0,0,0,0
4.5,484.0,5637.0,20.67,133.0,9.8,19.99,88.0,4.5,5575.0,55536.0,3.0,1,0,0,0
4.6,1667.0,10518.0,20.5,196.0,12.73,23.99,91.0,4.6,23126.0,153359.0,8.0,0,0,0,1
4.5,2378.0,12734.0,20.58,54.0,7.7,21.99,72.0,4.4,3613.0,49891.0,5.0,0,1,0,0
4.8,1040.0,6138.0,20.25,31.0,2.65,16.99,89.0,4.7,28856.0,110341.0,15.0,0,0,0,0
4.9,913.0,5068.0,19.08,221.0,30.2,20.99,89.0,4.7,14790.0,45655.0,11.0,0,1,0,0
4.7,6029.0,31704.0,15.42,25.0,4.17,16.99,63.0,4.5,25581.0,113465.0,12.0,0,0,0,0
4.2,236.0,1150.0,20.83,31.0,7.12,19.99,88.0,4.3,2259.0,6612.0,7.0,0,0,0,0
4.5,4441.0,27170.0,17.25,56.0,6.35,17.99,91.0,4.5,61441.0,190125.0,15.0,0,0,0,0
4.2,2388.0,12875.0,20.67,28.0,2.2,21.99,92.0,4.2,6562.0,33468.0,11.0,0,0,0,0
4.1,647.0,2890.0,17.83,136.0,17.88,21.99,91.0,4.3,25989.0,242653.0,43.0,0,0,0,1
4.4,343.0,3708.0,20.42,32.0,3.65,16.99,43.0,4.4,7604.0,55537.0,6.0,0,0,0,0
4.1,981.0,6304.0,20.75,43.0,7.02,16.99,58.0,4.2,21822.0,84160.0,15.0,0,0,0,1
4.5,1124.0,7955.0,20.83,40.0,3.1,16.99,88.0,4.4,24003.0,232079.0,19.0,0,1,0,0
4.4,740.0,2849.0,19.17,148.0,102.75,16.99,92.0,4.5,26337.0,93654.0,22.0,0,0,0,0
4.3,2735.0,16818.0,18.67,40.0,8.28,16.99,91.0,4.3,9255.0,86452.0,19.0,1,0,0,0
4.7,2605.0,6430.0,20.17,102.0,10.32,16.99,88.0,4.7,45475.0,209352.0,9.0,0,0,0,1
4.1,651.0,2758.0,20.83,334.0,40.5,16.99,32.0,4.1,651.0,5088.0,1.0,0,1,0,0
4.7,1687.0,20698.0,19.42,251.0,31.72,27.99,87.0,4.7,32198.0,125236.0,9.0,0,0,0,0
4.6,439.0,1865.0,19.33,58.0,4.42,21.99,69.0,4.6,2020.0,4388.0,7.0,0,0,0,1
4.7,3338.0,21953.0,20.67,97.0,7.6,16.99,32.0,4.7,7860.0,59049.0,4.0,0,1,0,0
4.3,1401.0,5343.0,17.58,71.0,7.28,16.99,88.0,4.4,39566.0,149857.0,226.0,0,0,0,0
4.5,1474.0,7776.0,20.33,29.0,2.48,21.99,88.0,4.6,13835.0,62988.0,11.0,0,0,0,0
4.5,2086.0,11781.0,14.92,77.0,5.67,20.99,43.0,4.5,2244.0,13704.0,2.0,0,0,0,0
4.5,904.0,20471.0,19.83,38.0,3.42,16.99,80.0,4.4,29643.0,221522.0,16.0,0,0,0,0
4.6,1846.0,40046.0,19.92,76.0,5.93,19.99,88.0,4.5,9080.0,153929.0,31.0,1,0,0,0
4.3,5074.0,43312.0,20.83,34.0,3.63,19.99,83.0,4.4,17156.0,118607.0,26.0,0,0,0,1
4.5,4314.0,13226.0,20.67,46.0,4.55,19.99,58.0,4.5,4314.0,13218.0,1.0,0,1,0,0
4.2,136.0,480.0,20.58,37.0,4.52,19.99,51.0,3.8,277.0,1478.0,3.0,0,1,0,0
4.0,573.0,2213.0,20.83,53.0,5.48,21.99,87.0,4.2,7513.0,66526.0,184.0,0,0,0,1
4.3,3073.0,8948.0,17.25,69.0,3.65,20.99,84.0,4.4,15624.0,36482.0,15.0,0,0,0,0
4.7,3280.0,12370.0,20.67,56.0,8.18,16.99,32.0,4.7,87085.0,224428.0,13.0,0,1,0,0
4.5,3610.0,13260.0,19.92,13.0,1.28,16.99,64.0,4.5,4163.0,14329.0,7.0,1,0,0,0
4.7,4838.0,15902.0,20.75,26.0,2.05,16.99,80.0,4.7,14790.0,45655.0,11.0,0,0,0,1
4.4,935.0,3877.0,20.83,62.0,8.45,21.99,89.0,4.4,3805.0,38591.0,4.0,0,1,0,0
4.2,1638.0,9160.0,20.83,65.0,10.55,21.99,92.0,4.4,4197.0,15193.0,12.0,0,0,0,0
4.5,4368.0,24456.0,20.83,252.0,31.65,17.99,83.0,4.4,12695.0,56091.0,9.0,0,0,0,0
4.4,3528.0,24427.0,17.33,77.0,3.93,19.99,60.0,4.4,15736.0,198635.0,40.0,0,0,0,0
4.4,2105.0,16471.0,20.83,668.0,48.82,25.99,77.0,4.5,6744.0,63469.0,8.0,0,1,0,0
4.6,9728.0,37276.0,18.42,39.0,3.98,23.99,79.0,4.6,13209.0,46550.0,2.0,0,1,0,0
4.4,5116.0,20743.0,20.83,72.0,6.73,21.99,86.0,4.4,10551.0,35550.0,4.0,0,0,0,1
